dt,angle,angle_dt,pwm,pos,pos_dt,source_file
0.051,2.8259,0.0029,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8258,0.001,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8257,0.0014,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8257,0.0018,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8257,0.003,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8256,-0.0005,0.0,0.0019,0.0,ident_20250910_062016.csv
0.052,2.8257,-0.0022,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8256,-0.0031,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8256,-0.0001,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8255,0.0003,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8256,-0.0015,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8255,-0.0018,0.0,0.0019,0.0,ident_20250910_062016.csv
0.05,2.8255,0.0009,0.0,0.0019,0.0,ident_20250910_062016.csv
0.052,2.8256,0.0027,0.0,0.0019,0.0,ident_20250910_062016.csv
0.05,2.8256,0.0022,0.0,0.0019,0.0,ident_20250910_062016.csv
0.052,2.8256,-0.0006,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8256,-0.0001,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8256,-0.0009,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8256,-0.001,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8256,0.0018,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8256,-0.0033,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8255,-0.0034,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8255,0.0007,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8255,0.0005,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8255,-0.0025,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8255,0.0017,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8255,-0.0009,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8255,-0.0014,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8255,0.0017,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8256,0.0023,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8256,-0.0006,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8257,0.0001,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8257,-0.0015,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8256,-0.0003,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8256,-0.0023,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8256,-0.0026,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8256,-0.0015,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8256,0.0001,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8258,-0.0045,0.0,0.0019,0.0,ident_20250910_062016.csv
0.05,2.8257,0.0017,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8257,0.0021,0.0,0.0019,0.0,ident_20250910_062016.csv
0.052,2.8257,0.0009,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8257,-0.0007,0.0,0.0019,0.0,ident_20250910_062016.csv
0.05,2.8256,-0.0006,0.0,0.0019,0.0,ident_20250910_062016.csv
0.052,2.8257,-0.0002,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8256,-0.0022,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8256,-0.0013,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8256,-0.0007,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8256,0.0007,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8257,-0.0002,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8258,0.0009,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8258,-0.0015,0.0,0.0019,0.0,ident_20250910_062016.csv
